faiss_v,gpu_RAM,gpu_name,n_gpu,success,vec_count,vec_len
1.4.0,12,Tesla K80,1,False,25100000,96
1.4.0,12,Tesla K80,1,True,25070000,96
1.4.0,12,Tesla K80,1,True,8000000,300
1.4.0,12,Tesla K80,1,False,9350000,300
1.4.0,12,Tesla K80,1,False,8700000,300
1.4.0,12,Tesla K80,1,False,8400000,300
1.4.0,12,Tesla K80,1,False,8200000,300
1.4.0,12,Tesla K80,1,False,8100000,300
1.4.0,12,Tesla K80,1,True,8050000,300
1.4.0,12,Tesla K80,1,True,8080000,300
1.4.0,12,Tesla K80,1,False,630000,4096
1.4.0,12,Tesla K80,1,True,590000,4096
1.4.0,12,Tesla K80,1,False,610000,4096
1.4.0,12,Tesla K80,1,False,600000,4096
1.4.0,96,Tesla K80,8,False,5030000,4096
1.4.0,96,Tesla K80,8,True,4720000,4096
1.4.0,96,Tesla K80,8,False,214750000,96
1.4.0,96,Tesla K80,8,False,201330000,96
1.4.0,96,Tesla K80,8,True,194620000,96
1.4.0,96,Tesla K80,8,True,197980000,96
1.4.0,96,Tesla K80,8,True,199660000,96
1.4.0,96,Tesla K80,8,True,200000000,96
1.4.0,24,Tesla K80,2,False,53690000,96
1.4.0,24,Tesla K80,2,False,50330000,96
1.4.0,24,Tesla K80,2,True,48650000,96
1.4.0,24,Tesla K80,2,True,50000000,96
1.4.0,24,Tesla K80,2,False,50160000,96
1.4.0,24,Tesla K80,2,True,50080000,96
1.4.0,24,Tesla K80,2,True,50120000,96
1.4.0,24,Tesla K80,2,True,50140000,96
1.4.0,24,Tesla K80,2,True,50150000,96
1.4.0,24,Tesla K80,2,False,1260000,4096
1.4.0,96,Tesla K80,8,False,200660000,96
1.4.0,96,Tesla K80,8,True,200330000,96
1.4.0,96,Tesla K80,8,True,200500000,96
1.4.0,96,Tesla K80,8,False,200580000,96
1.4.0,96,Tesla K80,8,True,200540000,96
1.4.0,96,Tesla K80,8,False,200560000,96
1.4.0,96,Tesla K80,8,False,200550000,96
1.4.0,96,Tesla K80,8,False,68720000,300
1.4.0,96,Tesla K80,8,True,64420000,300
1.4.0,96,Tesla K80,8,False,66570000,300
1.4.0,96,Tesla K80,8,False,65500000,300
1.4.0,96,Tesla K80,8,False,64960000,300
1.4.0,96,Tesla K80,8,False,64690000,300
1.4.0,96,Tesla K80,8,True,64560000,300
1.4.0,96,Tesla K80,8,True,64620000,300
1.4.0,96,Tesla K80,8,False,64660000,300
1.4.0,96,Tesla K80,8,False,4880000,4096
1.4.0,96,Tesla K80,8,False,4800000,4096
1.4.0,96,Tesla K80,8,False,4760000,4096
1.4.0,96,Tesla K80,8,True,4740000,4096
1.4.0,192,Tesla K80,16,False,137440000,300
1.4.0,192,Tesla K80,16,True,120390000,300
1.4.0,192,Tesla K80,16,True,120460000,300
1.4.0,192,Tesla K80,16,True,120490000,300
1.4.0,192,Tesla K80,16,True,120500000,300
1.4.0,192,Tesla K80,16,True,120510000,300
1.4.0,192,Tesla K80,16,True,128980000,300
1.4.0,192,Tesla K80,16,False,133210000,300
1.4.0,192,Tesla K80,16,False,131100000,300
1.4.0,192,Tesla K80,16,False,130040000,300
1.4.0,192,Tesla K80,16,False,129510000,300
1.4.0,192,Tesla K80,16,False,129240000,300
1.4.0,192,Tesla K80,16,True,129110000,300
1.4.0,192,Tesla K80,16,False,129180000,300
1.4.0,192,Tesla K80,16,True,129140000,300
1.4.0,192,Tesla K80,16,True,129160000,300
1.4.0,192,Tesla K80,16,False,129170000,300
1.4.0,96,Tesla K80,8,False,64640000,300
1.4.0,96,Tesla K80,8,False,64630000,300
1.4.0,16,Tesla V100,1,True,11450000,32
1.4.0,16,Tesla V100,1,True,12170000,32
1.4.0,16,Tesla V100,1,True,12530000,32
1.4.0,16,Tesla V100,1,True,12710000,32
1.4.0,16,Tesla V100,1,True,12800000,32
1.4.0,16,Tesla V100,1,True,12840000,32
1.4.0,16,Tesla V100,1,True,12860000,32
1.4.0,16,Tesla V100,1,False,11450000,300
1.4.0,16,Tesla V100,1,True,10740000,300
1.4.0,16,Tesla V100,1,True,11100000,300
1.4.0,16,Tesla V100,1,False,11280000,300
1.4.0,16,Tesla V100,1,False,11190000,300
1.4.0,16,Tesla V100,1,False,11140000,300
1.4.0,16,Tesla V100,1,False,11120000,300
1.4.0,16,Tesla V100,1,False,11110000,300
